content,wording,student_id,prompt_id,text,tokenize_length,fold
-1.4528702,-1.1617718,ad7245db300c,39c16e,The main person is a liable person that is neither good nor bad but his fortune goes from good to bad from an error or frailty ,28,0
-1.387065,-1.2992028,fa60cb9cef3f,39c16e,One element of an ideal tragedy is the downfall of a man who has made mistakes and those mistakes are why he is having a downfall.,29,0
-1.2300191,-1.0397286,5008bb3178a0,39c16e,At tragedy should have a complex storyline and plot while invoking pity and fear in the audience and only follow one story from good to bad. ,29,0
-1.2152481,-0.9501705,ac8891e90289,39c16e,"a complex twisting plot that makes you feel pity for the character and fear of becoming the pitted, also the change in fortune of the charter ",29,0
-1.2535994,-1.0877792,c4433d2e4905,39c16e,An ideal tragedy as described by Aristotle would be a plot that goes from good to bad with a man that is neither good nor evil.,29,0
-1.3373572,-1.4410834,1732b9c702c1,39c16e,Aristotle believed tragedies should follow a hard play should copy actions which excite shame and fear and should feature a character who is not very good. ,29,0
-1.3183205,-1.0691575,33e2a2543c2d,39c16e,"Three elements of an ideal tragedy is the complexity of it, the prosperity of a main character and a change of fortune from good to bad.",30,0
-1.1291027,-1.0366048,551c0f2ac3de,39c16e,"An ideal tragedy must have a  complex  plot,  an unhappy ending and the plot should also go from good to bad and not bad to good.",30,0
-1.2429854,-1.1503989,e16cafc1509a,39c16e,"At least 3 elements of an ideal tragedy described by Aristotle is that it should have a complex plan , a well constructed plot and a character.",30,0
-1.5559733,-1.0862626,3d1786dfeca6,39c16e,"a trade is when the ending is polite, this is not a good or bad man that goes through tough times, its not simple its complex",30,0
-1.1772587,-1.3662306,6018d3d644ff,39c16e,A tragedy may not satisfy the moral sense nor will it call forth pity or fear. Neither should the downfall of the utter villain be exhibited. ,30,0
-1.2091317,-0.8635039,4cfbf5644113,39c16e,"make actions that provide exiting and fearful emotions, change of fortune should be from good to bad and a virtuous man brought from property to adversity. ",30,0
-1.2652142,-1.3958396,ab655587a46e,39c16e,"Can be more Alien to the split of tragedy, a tragedy then to be perfect for rules of art, thence devise is not true tragic pleasure ",30,0
-1.2863501,-1.4673656,180b0db4f831,39c16e,"it should moreover imitate actions which excite pity and fear, noting can be more alien to the spirit of the trading, it processes no single tragic quality",31,0
-1.1704555,-1.274315,b6b823947818,39c16e,"It should have a complex plan, excite petty and fear and have a character who is misfortune is brought on by an error of judgment or frailty.",31,0
-1.1057086,-1.1620418,b0437c0c98b2,39c16e,"The three elements of an ideal tragedy are exciting fear and pity, have a change of torture from good to bad, and satisfies the moral sense.",31,0
-1.1414279,-0.90740603,11f5c9c78d53,39c16e,The tragedy should be arranged not as a simple plan but a complex plan.  it should express pity and fear and follow plainly in the first place.,31,0
-0.9121785,-0.58964705,f606b52465d5,39c16e,It should be arranged on a complex plan. It shout also imitate actions which excited pity and fear.  Lastly it should be single in its issue. ,31,0
-0.9249671,-0.4618763,16285fcdbbe2,39c16e,"A tragedy successful in installing pity and fear should imitate real life, avoiding fantastical characters and plots. This nemesis represents real human nature in fictional circumstances.",31,0
-0.99069417,-0.4108183,2d43c6966180,39c16e,"it should be a complex story, that swings the audiences emotions as they follow it. it should also have a change in mood throughout the story.",31,0
-1.213262,-1.1803511,668d8708e907,39c16e,"An ideal tragedy must include actions that excite pity and fair, the downfall of man that the audience can relate to, and must suffer something terrible.",31,0
-1.2610645,-1.1819731,0d926d77a253,39c16e,"An ideal tragedy imitated actions that excite pity and fear,  the change in fortune is good to bad, and they are very dramatic when played out. ",31,0
-1.0422498,-0.8134274,0da4a658dfd0,39c16e,three elements are plot verbal expression and  humanity (the fall of the hero) these are key factors so the characters develop and give a diverse story.,31,0
-0.99583256,-0.83387035,820f52365906,39c16e,An ideal tragedy should be on the complex plane. The characters should be neither evil nor good. And the downfall should of some sort of frailty.,31,0
